Site,Sex,SVL,TL,HLL,Mass,Ticks,Max_25cm,Max_2m
Recovery,M,46,69,35,3.25,0,2.07,1.83
Recovery,M,66,93,44,10.00,0,2.85,1.93
Recovery,M,68,99,46,10.75,0,2.69,1.89
Recovery,M,55,80,40,5.75,0,2.66,1.84
Recovery,M,65,49,44,9.00,0,2.65,1.99
Recovery,M,63,96,46,9.50,0,2.67,1.78
Recovery,M,58,90,39,7.25,0,2.72,1.89
Recovery,M,64,100,44,11.25,0,2.59,2.08
Recovery,M,62,66,42,8.75,0,2.65,1.63
Control,M,64,89,42,,0,2.62,1.81
Control,M,71,74,50,11.75,0,2.73,2.63
Control,M,67,100,47,12.00,0,2.62,1.37
Control,M,64,94,44,8.50,0,2.07,1.60
Control,M,51,73,36,5.25,0,2.06,1.25
Control,M,49,75,35,3.50,0,2.04,1.56
Control,M,52,75,35,4.50,0,3.20,1.50
Control,M,65,72,43,7.00,0,2.68,2.04
Control,M,43,50,32,3.25,0,2.01,0.74
Control,M,63,91,36,10.75,0,2.05,1.67
Control,M,66,95,32,12.00,0,1.99,1.55
New Burn,M,60,91,43,9.00,0,2.66,1.68
New Burn,M,54,34,34,7.00,0,2.68,2.02
New Burn,M,65,31,44,11.00,0,2.76,2.49
New Burn,M,71,100,46,14.25,0,2.77,1.62
New Burn,M,60,61,44,10.50,0,3.13,2.08
New Burn,M,63,94,49,9.25,0,4.00,2.33
New Burn,M,62,90,44,8.75,0,3.20,2.16
New Burn,M,62,94,45,9.75,0,2.90,2.04
New Burn,M,67,95,47,11.25,0,3.55,2.38
New Burn,M,66,101,46,11.25,0,3.02,2.67
Control,M,70,56,46,11.25,0,3.18,2.14
Control,M,64,95,47,9.50,1,2.70,1.77
Control,M,51,76,35,4.50,1,1.60,0.78
Recovery,M,66,101,45,11.00,1,2.65,1.95
Recovery,M,71,95,49,12.25,1,3.07,2.06
Recovery,M,68,96,48,11.50,2,2.67,1.56
Recovery,M,70,104,47,12.25,2,2.75,1.64
Recovery,M,51,79,38,5.00,2,2.39,1.14
Recovery,M,68,71,46,10.75,2,2.19,1.05
Recovery,M,62,91,45,8.00,2,1.99,0.92
Control,M,66,93,44,11.00,2,2.66,1.57
Control,M,74,74,51,14.00,2,2.65,2.18
Recovery,M,75,107,46,14.00,2,2.07,1.50
Recovery,M,63,91,45,10.25,2,2.57,1.47
Recovery,M,67,96,45,11.50,3,2.71,1.65
Recovery,M,67,96,45,11.50,3,2.85,2.13
New Burn,M,69,95,44,9.75,3,2.48,1.89
Control,M,61,94,45,8.25,3,3.06,2.24
Recovery,M,61,92,42,8.25,4,3.28,2.25
Recovery,M,67,94,44,10.75,6,2.69,2.15
Recovery,M,68,91,45,12.25,7,3.20,2.56